,main,main_loss,backdoor,backdoor_loss,lr
1,55.769999999999996,0.006639096164703369,1.16,0.030238152027130125,0.002
2,67.35,0.004922194164991379,1.15,0.04572371273040771,0.002
3,67.41,0.004915618681907654,1.16,0.04627075214385986,0.002
4,67.47,0.004903159832954407,1.1400000000000001,0.04593874750137329,0.002
5,67.46,0.004903169059753418,1.16,0.04596850824356079,0.002
6,67.39,0.004895392644405365,1.18,0.04583202075958252,0.002
7,67.51,0.004895321995019913,1.13,0.045563644313812254,0.002
8,67.58999999999999,0.004905435943603515,1.17,0.045935581302642824,0.002
9,67.56,0.004896162712574005,1.0999999999999999,0.04607193584442139,0.002
10,67.60000000000001,0.004903130060434341,23.13,0.015075824856758117,0.002
11,67.69,0.00490879026055336,26.05,0.014184785461425781,0.002
12,67.53,0.0049065881073474885,21.04,0.015552093935012817,0.002
13,67.63,0.004902122557163238,21.17,0.015592918539047242,0.002
14,67.69,0.00489076115489006,19.8,0.016020135617256164,0.002
15,67.78999999999999,0.004877035230398178,18.509999999999998,0.01661307146549225,0.002
16,67.66,0.004885584998130799,61.99,0.005999746859073639,0.002
17,67.72,0.00488825352191925,62.78,0.0058529679298400875,0.002
18,67.75,0.00487941477894783,59.21999999999999,0.00647756963968277,0.002
19,67.46,0.004903646546602249,86.88,0.001824807558953762,0.002
20,67.74,0.004888863837718964,83.28999999999999,0.0024194142490625383,0.002
21,67.7,0.004885461813211441,83.7,0.002370093733072281,0.002
22,67.58999999999999,0.004890697532892227,82.09,0.002616527271270752,0.002
23,67.60000000000001,0.0048889836013317105,78.45,0.0032146380960941315,0.002
24,67.58999999999999,0.004886514735221863,77.52,0.003321602898836136,0.002
25,67.74,0.004885113835334778,74.28,0.003815872621536255,0.002
26,67.63,0.004874243915081024,72.05,0.0042192517638206485,0.002
27,67.66,0.004873371821641922,72.05,0.004247133523225784,0.002
28,67.49000000000001,0.0048755448341369625,70.12,0.004544395041465759,0.002
29,67.58,0.004888706821203232,90.22,0.0013671134561300277,0.002
30,67.56,0.004878599727153778,89.36,0.001483017186820507,0.002
31,67.46,0.0048848494470119476,89.95,0.0013975416138768196,0.002
32,67.61,0.004878969740867615,95.04,0.0006588621743023396,0.002
33,67.67,0.004908645558357239,96.88,0.00043860624823719265,0.002
34,67.4,0.004898777055740357,96.11,0.0005304465755820274,0.002
35,67.47999999999999,0.00489367316365242,95.17999999999999,0.0006423122063279152,0.002
36,67.45,0.004882831335067749,94.02000000000001,0.0008000153221189975,0.002
37,67.47999999999999,0.0048842841982841495,93.45,0.0008817870788276195,0.002
38,67.72,0.004877667903900146,92.54,0.0010114788480103016,0.002
39,67.72,0.004880924189090728,91.97,0.0010844962172210217,0.002
40,67.56,0.00488575496673584,91.10000000000001,0.0011994835637509822,0.002
41,67.56,0.004877920293807983,96.41999999999999,0.00048025737479329107,0.002
42,67.39,0.004893242597579956,97.57000000000001,0.00035399693921208384,0.002
43,67.7,0.004888743883371354,96.91,0.00042066323421895504,0.002
44,67.56,0.004881100165843964,96.02000000000001,0.0005394902553409338,0.002
45,67.64,0.004884651356935501,95.55,0.0005922779195010662,0.002
46,67.49000000000001,0.004884909570217133,94.77,0.0007083269447088242,0.002
47,67.62,0.004883217197656631,94.66,0.0007222490385174751,0.002
48,67.67,0.004890054649114609,93.66,0.0008443235598504543,0.002
49,67.57,0.004880417340993881,93.60000000000001,0.000854395941644907,0.002
50,67.62,0.00488560506105423,93.33,0.0008857415117323399,0.002
51,67.71000000000001,0.004879930931329727,92.08,0.001059040430188179,0.002
52,67.53,0.0048641846179962155,96.77,0.0004473787376657128,0.002
53,67.5,0.004886639004945755,97.96000000000001,0.00029585235379636285,0.002
54,67.5,0.004883142280578613,97.49,0.0003488979296758771,0.002
55,67.78,0.004870875936746597,97.14,0.0003973829226568341,0.002
56,67.49000000000001,0.004860925281047821,98.11,0.0002832536512985826,0.002
57,67.66,0.00488353797197342,99.03,0.00018648815527558328,0.002
58,67.51,0.004877929949760437,99.45,0.00013876689933240414,0.002
59,67.36999999999999,0.004890994757413864,99.62,0.00011888751070946455,0.002
60,67.39,0.004902061331272125,99.52,0.00012861993424594402,0.002
61,67.47,0.004891817486286163,99.42,0.000140904788300395,0.002
62,67.58,0.004882468187808991,99.25,0.00016220673248171807,0.002
63,67.73,0.004888335120677948,98.92999999999999,0.00018943328633904457,0.002
64,67.60000000000001,0.0048793286740779875,98.75,0.00020702326372265816,0.002
65,67.63,0.004892744100093841,98.67,0.00022550730668008327,0.002
66,67.54,0.00489066526889801,98.67,0.0002216616252437234,0.002
67,67.47999999999999,0.004877686440944671,98.2,0.0002775701019912958,0.002
68,67.58999999999999,0.004875952333211898,98.1,0.0002909417539834976,0.002
69,67.62,0.0048741688191890715,97.86,0.00031364288702607156,0.002
70,67.60000000000001,0.004885383689403534,97.52,0.00035321424845606087,0.002
71,67.49000000000001,0.004874204301834106,98.68,0.00021161745600402354,0.002
72,67.42,0.00489464345574379,99.53999999999999,0.00013049997333437204,0.002
73,67.38,0.004869695371389389,99.47,0.00013381534107029437,0.002
74,67.4,0.004887714976072311,99.82,0.00010126998107880353,0.002
75,67.44,0.004865793120861053,99.79,0.00010335164200514555,0.002
76,67.54,0.004885297602415085,99.92,9.352469965815544e-05,0.002
77,67.5,0.004876603025197983,99.86,9.79755513370037e-05,0.002
78,67.67,0.004881255507469177,99.82,0.00010356597155332565,0.002
79,67.69,0.004883441960811615,99.76,0.00010837208665907384,0.002
80,67.80000000000001,0.004875215309858322,99.64,0.00011731224786490202,0.002
81,67.78999999999999,0.004872073096036911,99.71,0.00011147937402129173,0.002
82,67.64,0.00488230146765709,99.87,9.731371719390154e-05,0.002
83,67.80000000000001,0.004888025498390198,99.85000000000001,9.987935703247785e-05,0.002
84,67.71000000000001,0.004876640504598618,99.77000000000001,0.00010578122399747372,0.002
85,67.65,0.004875585156679153,99.75,0.00011032846737653017,0.002
86,67.54,0.004870167654752731,99.57000000000001,0.00012378576528280973,0.002
87,67.57,0.004878564590215683,99.58,0.00012296111825853588,0.002
88,67.77,0.00487416382431984,99.52,0.0001308074964210391,0.002
89,67.64,0.0048926284492015835,99.46000000000001,0.00013679433539509774,0.002
90,67.73,0.004877282577753067,99.59,0.00012128192298114299,0.002
91,67.73,0.004896503150463105,99.86,9.99809319153428e-05,0.002
92,67.71000000000001,0.004891990345716477,99.8,0.00010462512392550707,0.002
93,67.71000000000001,0.0048804118335247035,99.67,0.00011596853192895651,0.002
