,main,main_loss,backdoor,backdoor_loss,lr
1,54.790000000000006,0.006846946656703949,1.25,0.030092745780944823,0.002
2,64.94,0.005463995409011841,0.9299999999999999,0.048453847980499266,0.002
3,65.57,0.0052121431708335875,0.9900000000000001,0.04617153367996216,0.002
4,65.3,0.005254989659786225,0.97,0.04613679141998291,0.002
5,65.24,0.005282053279876709,1.04,0.04597011413574219,0.002
6,65.46,0.005221062386035919,1.0699999999999998,0.045774987506866455,0.002
7,65.56,0.005219759559631347,1.01,0.04583105955123901,0.002
8,65.42,0.005268643736839294,0.98,0.046283151245117185,0.002
9,65.42999999999999,0.00523891589641571,0.91,0.04622667531967163,0.002
10,65.55,0.005189098858833313,18.34,0.01716276981830597,0.002
11,65.49000000000001,0.005204810261726379,22.05,0.015891717314720152,0.002
12,65.14,0.005253888320922852,17.299999999999997,0.017466058039665222,0.002
13,65.25999999999999,0.005252247893810272,18.240000000000002,0.01715288710594177,0.002
14,65.59,0.005244502997398376,16.89,0.017711618661880493,0.002
15,65.35,0.005247955334186554,15.840000000000002,0.018231457328796385,0.002
16,65.56,0.005208495795726776,55.34,0.007137872862815857,0.002
17,65.64,0.005224537336826324,60.51,0.006294287240505218,0.002
18,65.41,0.005251686263084411,54.76,0.007363083839416504,0.002
19,65.66,0.005188624453544617,84.00999999999999,0.002247155025601387,0.002
20,65.35,0.005224413192272187,81.38,0.0026804585158824923,0.002
21,65.7,0.005209795606136322,82.09,0.0025901761800050734,0.002
22,65.59,0.00523451189994812,79.80000000000001,0.002933965656161308,0.002
23,65.59,0.005237611973285675,76.34,0.0034840811610221865,0.002
24,65.75,0.00520275628566742,75.46000000000001,0.003586000448465347,0.002
25,65.69,0.0052235877513885495,73.1,0.003977802020311356,0.002
26,65.36999999999999,0.005218989944458008,70.67999999999999,0.0043812753915786744,0.002
27,65.36999999999999,0.005221931898593902,70.17999999999999,0.004467902672290802,0.002
28,65.51,0.00520085985660553,68.21000000000001,0.004860633462667466,0.002
29,65.56,0.005194445073604584,88.36,0.0016055826134979724,0.002
30,65.62,0.005219806253910064,87.92,0.0016632696494460106,0.002
31,65.36999999999999,0.0052396164894104,88.23,0.0016106201469898223,0.002
32,65.66,0.005201473069190979,93.87,0.0008361986108124256,0.002
33,65.72,0.005213487339019775,96.22,0.0005221082173287869,0.002
34,65.41,0.005238622868061066,94.88,0.0006841936282813549,0.002
35,65.69,0.00524024897813797,94.36,0.0007536826193332672,0.002
36,65.55,0.005219258141517639,92.94,0.0009468632534146309,0.002
37,65.5,0.005212810647487641,92.39,0.001016386044025421,0.002
38,65.72,0.005238881719112396,90.98,0.0012239193744957447,0.002
39,65.59,0.005232972192764283,90.44,0.0012909182123839855,0.002
40,65.64999999999999,0.005201428985595703,89.48,0.0014264324977993966,0.002
41,65.61,0.005227834939956665,94.71000000000001,0.0007093932174146176,0.002
42,65.35,0.005238304603099823,96.71,0.00045810194201767446,0.002
43,65.35,0.005230210149288177,95.54,0.0006013216115534305,0.002
44,65.47,0.005213299071788788,94.47,0.0007410186041146517,0.002
45,65.53999999999999,0.005239154040813446,93.94,0.0008146988421678543,0.002
46,65.55,0.005225125336647034,92.58999999999999,0.0009989931527525186,0.002
47,65.34,0.005210954070091247,92.5,0.001006303308904171,0.002
48,65.28,0.005237577092647552,91.31,0.0011580542467534542,0.002
49,65.63,0.005218185520172119,91.53,0.0011453394964337348,0.002
50,65.64999999999999,0.005223417985439301,90.89,0.001223986305296421,0.002
51,65.66,0.0051983073353767395,89.23,0.0014310437232255935,0.002
52,65.64,0.005177750623226166,95.42,0.0006280181441456079,0.002
53,65.58,0.0052321351051330565,97.78,0.0003319770440459251,0.002
54,65.38000000000001,0.005224235761165619,96.8,0.0004453048277646303,0.002
55,65.69,0.005226551866531372,96.28999999999999,0.0005092323765158653,0.002
56,65.74,0.005184987723827362,97.26,0.0004029663294553757,0.002
57,65.56,0.005232197666168213,98.38,0.00025379739589989186,0.002
58,65.57,0.0052097000479698185,98.8,0.0002140628594905138,0.002
59,65.74,0.005212126433849335,99.36,0.00015574533194303512,0.002
60,65.75,0.005214726948738098,99.11,0.00018276223968714475,0.002
61,65.57,0.005245112216472626,98.82,0.00021366508975625037,0.002
62,65.61,0.0052018629550933835,98.38,0.0002564144952222705,0.002
63,65.62,0.005219147562980652,98.09,0.00028847441598773004,0.002
64,65.46,0.005226968932151794,98.03,0.00030295804478228095,0.002
65,65.60000000000001,0.0052287466883659366,97.65,0.0003438107322901487,0.002
66,65.58,0.005224863851070404,97.55,0.0003541500892490149,0.002
67,65.52,0.005219050765037537,96.92,0.00043518141508102416,0.002
68,65.60000000000001,0.005199578475952148,96.98,0.0004267502646893263,0.002
69,65.16999999999999,0.005254357182979584,96.77,0.00045247881263494493,0.002
70,65.61,0.005233865940570831,96.36,0.0005052444783970714,0.002
71,65.75999999999999,0.005207748544216156,97.91,0.00032005768641829493,0.002
72,65.83,0.005188344693183899,99.09,0.00018201522864401342,0.002
73,65.61,0.005201380801200866,99.1,0.00018574197497218847,0.002
74,65.7,0.005193424808979034,99.59,0.00012338006533682346,0.002
75,65.58,0.005229209220409393,99.38,0.00014877267014235258,0.002
76,65.83,0.005219174635410309,99.68,0.00011302307080477475,0.002
77,65.73,0.005223589277267456,99.56,0.00012394146136939527,0.002
78,65.45,0.005246111488342285,99.45,0.0001350135065615177,0.002
79,65.53999999999999,0.005247966170310974,99.44,0.00013925635628402234,0.002
80,65.69,0.005230908215045929,99.32,0.00015354448687285186,0.002
81,65.53999999999999,0.005218853259086609,99.35000000000001,0.0001493787007406354,0.002
82,65.47,0.005242374503612518,99.67,0.00011840059664100409,0.002
83,65.81,0.005198742747306823,99.53,0.0001302293224260211,0.002
84,65.61,0.00522835111618042,99.45,0.00013861310593783855,0.002
85,65.84,0.0052012466311454775,99.35000000000001,0.0001491361228749156,0.002
86,65.75999999999999,0.005204231536388397,99.22,0.00016451207045465707,0.002
87,65.62,0.005227180802822113,99.25,0.00016364597361534833,0.002
88,65.67,0.005224762070178986,99.07000000000001,0.0001808631431311369,0.002
89,65.69,0.00522279611825943,98.94,0.0001968219108879566,0.002
90,65.58,0.005224322867393494,99.21,0.00016730706188827752,0.002
91,65.69,0.005214997124671936,99.69,0.00011396728474646806,0.002
92,65.61,0.005203215873241424,99.53,0.000128914063423872,0.002
93,65.85,0.005202898466587067,99.39,0.00014277200624346733,0.002
94,65.7,0.005211432123184204,99.29,0.00015673720072954892,0.002
95,65.5,0.005247100102901458,99.31,0.00015420421659946443,0.002
96,65.72,0.005215964150428772,99.28,0.00015545477848500014,0.002
97,65.69,0.0052060804963111875,99.07000000000001,0.0001816594898700714,0.002
98,65.44,0.005259306085109711,99.17,0.00017185255289077757,0.002
99,65.61,0.005237126064300537,99.13,0.00018163354936987162,0.002
100,65.51,0.005227014636993408,99.14,0.00017497562263160945,0.002
101,65.45,0.0052347295641899105,99.64,0.00011945171486586333,0.002
102,65.36,0.005243531668186188,99.53,0.00012911546211689712,0.002
103,65.53999999999999,0.005206959962844849,99.47,0.0001356408340856433,0.002
104,65.45,0.005260164475440979,99.33,0.00014917569402605294,0.002
105,65.67,0.005225194787979126,99.22999999999999,0.0001653168009594083,0.002
106,65.47,0.0052273977041244505,99.24,0.000159496789611876,0.002
107,65.68,0.005235389769077301,99.2,0.00016713759880512954,0.002
108,65.67,0.005220294213294983,99.13,0.00017952346056699753,0.002
109,65.47,0.005238485896587372,99.11999999999999,0.00018335721865296364,0.002
110,65.38000000000001,0.005248181390762329,98.99,0.0001931446658447385,0.002
111,65.84,0.005204425597190857,98.98,0.0001960683986544609,0.002
112,65.49000000000001,0.005218036067485809,98.87,0.00020346524845808744,0.002
113,65.64,0.005214796829223633,98.79,0.0002101470498368144,0.002
114,65.49000000000001,0.005265537583827973,98.87,0.0002076732248067856,0.002
115,65.62,0.005255123710632324,98.7,0.00022483386918902397,0.002
116,65.53,0.005246527588367462,98.61,0.00023661892097443342,0.002
117,65.44,0.005261715590953827,98.71,0.00022593480609357357,0.002
118,65.69,0.005234786987304688,98.44000000000001,0.0002567102450877428,0.002
119,65.68,0.005231989097595215,98.49,0.000245911730080843,0.002
120,65.56,0.005249165463447571,98.26,0.0002647746242582798,0.002
121,65.68,0.005222879326343536,98.26,0.0002637114966288209,0.002
122,65.89,0.005203309917449951,98.03,0.000287642109952867,0.002
123,65.60000000000001,0.005216937744617462,98.14,0.0002788177698850632,0.002
124,65.73,0.005218274426460266,97.74000000000001,0.00032401530873030427,0.002
125,65.8,0.0052212644696235655,97.91,0.0003064063545316458,0.002
126,65.60000000000001,0.005261665153503418,97.89999999999999,0.00031247888915240767,0.002
127,65.8,0.005186819577217102,97.76,0.0003326250648126006,0.002
128,65.86999999999999,0.005228851926326752,97.47,0.00036093718688935043,0.002
129,65.86,0.005213197517395019,97.17,0.0003955278038978577,0.002
130,65.75,0.005227355647087097,97.21,0.0003965818103402853,0.002
131,65.92,0.005192464351654053,96.86,0.0004407834503799677,0.002
132,65.52,0.005253577065467835,96.75,0.000453322690539062,0.002
133,65.69,0.005215370619297027,96.89999999999999,0.00043637730926275256,0.002
134,65.41,0.005212666177749634,96.98,0.00042667994424700736,0.002
135,65.42,0.005226818346977234,96.7,0.0004618151355534792,0.002
136,65.5,0.00523455570936203,96.78,0.0004492910448461771,0.002
137,65.60000000000001,0.0052426627874374385,96.35000000000001,0.0004987829871475697,0.002
138,65.78,0.005230723464488983,96.24000000000001,0.0005093507558107376,0.002
139,65.31,0.005239210534095764,96.13000000000001,0.0005195839285850525,0.002
140,65.75,0.005201330208778381,96.39999999999999,0.0004890166541561484,0.002
