epoch,cosine_similarity,l2_distance,backdoor,main
101,0.9999998807907104,393.54815673828125,100.0,91.91
102,0.9999998807907104,764.7352294921875,100.0,91.73
103,0.9999998807907104,1144.8668212890625,100.0,91.86
104,0.9999998807907104,1583.1361083984375,100.0,91.8
105,0.9999998807907104,1931.9627685546875,100.0,91.99000000000001
106,1.0,2303.14990234375,100.0,91.81
107,0.9999998807907104,2723.53076171875,100.0,91.88
108,0.9999998807907104,3121.55078125,100.0,91.85
109,1.0,3474.849609375,100.0,91.86999999999999
110,0.9999998807907104,3854.981201171875,100.0,91.88
111,0.9999998807907104,4248.529296875,100.0,91.96
112,0.9999998807907104,4642.0771484375,100.0,91.88
113,1.0,5075.87451171875,100.0,91.9
114,1.0,5447.0615234375,100.0,91.86
115,0.9999998807907104,5813.77685546875,100.0,91.9
116,1.0,6229.685546875,100.0,92.05
117,1.0,6694.78759765625,100.0,91.85
118,1.0,7079.39111328125,100.0,91.97
119,0.9999998807907104,7495.2998046875,100.0,91.88
120,1.0,7870.95947265625,100.0,91.7
121,0.9999999403953552,8273.451171875,100.0,91.77
122,0.9999999403953552,8635.6943359375,100.0,92.0
123,0.9999999403953552,9042.6591796875,100.0,91.9
124,0.9999999403953552,9498.81640625,100.0,91.72
125,0.9999999403953552,9861.0595703125,100.0,91.83
126,0.9999999403953552,10200.9423828125,100.0,91.59
127,1.0,10598.9619140625,100.0,91.75
128,0.9999999403953552,11037.2314453125,100.0,91.9
129,0.9999999403953552,11466.556640625,100.0,91.83
130,0.9999999403953552,11869.048828125,100.0,91.88
131,0.9999998807907104,12267.0693359375,100.0,91.58
132,0.9999998807907104,12638.255859375,100.0,91.73
133,1.0,13018.388671875,100.0,91.85
134,0.9999998807907104,13411.9365234375,100.0,91.91
135,0.9999998807907104,13778.6513671875,100.0,91.95
136,1.0,14167.7265625,100.0,91.95
137,0.9999998807907104,14552.330078125,100.0,91.88
138,1.0,14941.40625,100.0,91.72
139,0.9999998807907104,15326.0107421875,100.0,91.96
140,1.0,15648.00390625,100.0,91.99000000000001
141,1.0,16054.9677734375,100.0,91.83
142,1.0,16417.2109375,100.0,91.95
143,1.0,16757.09375,100.0,91.91
144,0.9999998807907104,17177.474609375,100.0,91.57
145,1.0,17539.716796875,100.0,91.77
146,0.9999998807907104,17960.09765625,100.0,92.01
147,0.9999998807907104,18393.89453125,100.0,91.81
148,1.0,18791.9140625,100.0,91.78
149,1.0,19248.072265625,100.0,91.95
