epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,451.6859436035156,1.7000000000000002,65.68
102,1.0,764.7354125976562,1.94,65.34
103,1.0,1198.5325927734375,1.91,65.3
104,1.0,1650.21826171875,1.6,65.24
105,1.0,1954.3233642578125,1.73,64.94
106,1.0,2289.733642578125,1.53,65.88000000000001
107,1.0,2728.0029296875,1.24,65.52
108,0.9999999403953552,3139.439453125,1.3599999999999999,65.03999999999999
109,0.9999999403953552,3492.73828125,1.55,65.29
110,0.9999999403953552,3895.23046875,2.16,65.32
111,1.0,4342.44384765625,2.2800000000000002,65.3
112,0.9999999403953552,4753.88037109375,1.8800000000000001,65.58
113,0.9999999403953552,5111.6513671875,2.13,65.81
114,0.9999999403953552,5523.087890625,1.81,65.63
115,1.0,5898.74755859375,1.48,65.53
116,1.0,6292.29541015625,1.82,65.86
117,1.0,6618.76123046875,1.72,65.32
118,1.0,7088.3359375,2.39,65.41
119,0.9999999403953552,7437.16259765625,1.92,65.53999999999999
120,1.0,7906.736328125,2.03,65.42
121,1.0,8251.0908203125,1.5699999999999998,65.52
122,1.0,8693.83203125,2.06,65.23
123,1.0,9029.2421875,1.82,65.55
124,1.0,9458.5673828125,2.26,65.21000000000001
125,0.9999999403953552,9910.2529296875,1.7000000000000002,65.68
126,1.0,10268.0244140625,1.8800000000000001,65.5
127,1.0,10710.765625,2.09,65.58
128,1.0,11099.841796875,1.9,65.72
129,1.0,11506.8056640625,1.8800000000000001,65.49000000000001
130,0.9999999403953552,11846.6884765625,2.16,65.77
131,1.0,12267.0693359375,2.55,65.97
132,0.9999998807907104,12656.14453125,1.68,65.95
133,0.9999998807907104,13009.443359375,1.7500000000000002,65.48
134,1.0,13474.5458984375,2.16,65.62
135,0.9999999403953552,13859.1494140625,2.09,65.47
136,0.9999999403953552,14225.8642578125,2.19,65.5
137,0.9999999403953552,14592.580078125,2.2800000000000002,65.39
138,0.9999999403953552,14945.87890625,2.1399999999999997,65.62
139,0.9999999403953552,15388.6201171875,2.09,65.59
140,0.9999999403953552,15804.529296875,1.7399999999999998,65.16
141,0.9999999403953552,16180.1884765625,1.97,65.75
142,0.9999999403953552,16555.84765625,1.52,65.49000000000001
143,0.9999998807907104,17007.533203125,1.5599999999999998,65.29
144,0.9999998807907104,17338.470703125,1.53,65.67
145,0.9999998807907104,17799.1015625,2.17,65.78
146,0.9999998807907104,18188.177734375,2.07,65.96
147,0.9999998807907104,18550.419921875,1.91,65.69
148,0.9999998807907104,18836.63671875,0.76,64.35
149,0.9999999403953552,19270.43359375,1.69,65.10000000000001
150,0.9999998807907104,19744.48046875,1.44,65.24
151,0.9999998807907104,20155.916015625,2.18,65.27
152,0.9999998807907104,20522.6328125,1.7500000000000002,65.51
153,0.9999998807907104,20943.01171875,1.8499999999999999,65.5
154,0.9999998807907104,21390.2265625,1.81,65.32
155,0.9999998807907104,21765.88671875,2.34,65.56
156,0.9999998807907104,22132.599609375,2.23,65.5
157,0.9999998807907104,22597.703125,2.33,65.46
158,0.9999998211860657,22892.86328125,1.69,65.22
159,0.9999998807907104,23268.5234375,1.49,65.66
160,0.9999999403953552,23635.23828125,1.97,64.92
161,0.9999997615814209,24028.787109375,2.15,65.48
162,0.9999998807907104,24435.75,2.06,65.14999999999999
163,0.9999997615814209,24833.771484375,2.41,65.07
164,0.9999997615814209,25236.263671875,1.81,65.51
165,0.9999998807907104,25683.4765625,1.6400000000000001,65.46
166,0.9999998807907104,26085.96875,1.3,65.69
167,0.9999998807907104,26443.740234375,1.91,65.85
168,0.9999997019767761,26904.369140625,2.1999999999999997,65.52
169,0.9999998807907104,27244.251953125,1.7000000000000002,65.24
170,0.9999998807907104,27673.578125,1.83,65.68
171,0.9999997615814209,28026.875,1.35,65.10000000000001
172,0.9999998807907104,28362.28515625,1.8800000000000001,65.64999999999999
173,0.9999997615814209,28769.25,1.59,65.82000000000001
174,0.9999998807907104,29225.40625,1.6099999999999999,65.89
175,0.9999998807907104,29511.623046875,1.78,65.67
176,0.9999998807907104,29963.3125,1.55,65.61
177,0.9999998807907104,30330.02734375,2.17,65.93
178,0.9999998807907104,30835.376953125,1.4500000000000002,65.68
179,0.9999998807907104,31170.787109375,1.7399999999999998,65.74
180,0.9999997615814209,31582.224609375,1.5,65.88000000000001
181,0.9999997615814209,31899.744140625,2.23,65.42
182,0.9999998807907104,32306.7109375,1.69,65.42999999999999
183,0.9999997615814209,32722.619140625,1.4500000000000002,65.53999999999999
184,0.9999997615814209,33129.58203125,1.95,65.61
185,0.9999998807907104,33567.8515625,1.39,65.46
186,0.9999997615814209,33867.484375,1.7000000000000002,65.35
187,0.9999997615814209,34319.171875,1.94,65.78
188,0.9999997615814209,34627.75,1.9800000000000002,65.53
189,0.9999997615814209,35052.6015625,1.5699999999999998,65.34
190,0.9999997615814209,35477.45703125,1.18,65.86
191,0.9999997615814209,35844.16796875,1.44,65.61
192,0.9999997615814209,36260.078125,1.27,65.62
193,0.9999997615814209,36568.65625,1.4200000000000002,65.45
194,0.9999997615814209,36975.62109375,2.16,65.68
195,0.9999997615814209,37373.640625,1.97,65.86999999999999
196,0.9999997615814209,37785.078125,1.8900000000000001,65.46
197,0.9999997615814209,38160.734375,1.92,65.7
198,0.9999997615814209,38558.75390625,1.76,65.7
199,0.9999997615814209,38898.63671875,1.69,65.75
200,0.9999997019767761,39296.65625,1.67,65.8
201,0.9999997615814209,39743.87109375,1.83,66.06
202,0.9999997615814209,40074.80859375,2.1999999999999997,65.71000000000001
203,0.9999998807907104,40463.88671875,1.7500000000000002,65.58
204,0.9999997615814209,40821.65625,2.02,65.53
205,0.9999998807907104,41318.0625,2.11,65.59
206,0.9999998807907104,41711.61328125,2.18,65.94
207,0.9999998807907104,42181.1875,2.18,66.06
208,0.9999997019767761,42485.2890625,1.3299999999999998,65.46
209,0.9999997615814209,42847.53515625,2.07,65.53999999999999
210,0.9999997615814209,43218.72265625,2.21,65.75
211,0.9999997615814209,43625.6875,2.48,65.73
212,0.9999997615814209,43970.0390625,2.34,65.55
213,0.9999997615814209,44385.94921875,2.37,65.32
214,0.9999997615814209,44859.99609375,1.96,65.55
215,0.9999997019767761,45235.65625,2.41,65.51
216,0.9999997019767761,45647.08984375,2.37,65.52
217,0.9999997019767761,46040.640625,2.03,65.64
218,0.9999997615814209,46376.05078125,2.17,65.68
219,0.9999997615814209,46769.59765625,2.41,65.48
220,0.9999997615814209,47181.03125,2.4299999999999997,65.68
221,0.9999997019767761,47543.27734375,2.71,65.47
222,0.9999997019767761,47878.6875,2.27,65.55
223,0.9999997019767761,48272.234375,2.16,66.05
224,0.9999997019767761,48728.39453125,1.79,66.25
225,0.9999997019767761,49104.0546875,2.13,65.84
226,0.9999997019767761,49502.07421875,2.6,65.8
227,0.9999997019767761,49989.53515625,2.2800000000000002,65.59
228,0.9999997019767761,50320.47265625,2.13,65.98
229,0.9999997019767761,50669.30078125,2.18,65.99000000000001
230,0.9999997019767761,51080.734375,2.12,65.14999999999999
231,0.9999997019767761,51429.5625,2.0,65.74
232,0.9999997019767761,51867.83203125,1.82,65.75999999999999
233,0.9999997019767761,52207.71484375,1.8599999999999999,65.83
234,0.9999997019767761,52601.26171875,2.41,65.9
235,0.9999997019767761,52994.80859375,1.8499999999999999,65.4
236,0.9999997019767761,53468.85546875,1.66,65.35
237,0.9999997019767761,53840.046875,1.6400000000000001,65.77
238,0.9999998211860657,54139.67578125,2.01,65.32
239,0.9999997019767761,54546.640625,2.0500000000000003,65.46
240,0.9999997019767761,54926.7734375,1.8399999999999999,65.79
241,0.9999997019767761,55338.2109375,1.51,65.68
242,0.9999997019767761,55740.703125,1.47,65.5
243,0.9999997615814209,56089.52734375,2.04,65.58
244,0.9999997019767761,56541.21484375,2.02,65.68
245,0.9999997019767761,56840.84765625,2.19,65.68
246,0.9999997019767761,57261.23046875,2.55,65.86999999999999
247,0.9999997019767761,57650.3046875,2.09,65.75
248,0.9999997019767761,57990.18359375,1.95,65.38000000000001
249,0.9999996423721313,58450.8125,2.08,65.81
250,0.9999997019767761,58768.34375,2.07,65.75999999999999
251,0.9999997019767761,59220.0234375,1.6500000000000001,65.36
252,0.9999997019767761,59604.62890625,1.77,65.75999999999999
253,0.9999997019767761,60042.89453125,1.8800000000000001,65.52
254,0.9999997019767761,60445.390625,2.04,65.53
255,0.9999997019767761,60812.10546875,1.52,65.62
256,0.9999996423721313,61174.34765625,2.25,65.60000000000001
257,0.9999996423721313,61594.73046875,1.48,65.68
258,0.9999997019767761,61970.390625,1.5599999999999998,65.88000000000001
259,0.9999996423721313,62368.40625,2.25,65.48
260,0.9999996423721313,62730.65234375,1.7999999999999998,65.86
261,0.9999997019767761,63128.671875,1.69,65.55
262,0.9999996423721313,63513.2734375,1.8900000000000001,65.85
263,0.9999996423721313,63853.15625,2.04,65.74
264,0.9999997019767761,64322.73046875,2.29,66.10000000000001
265,0.9999996423721313,64720.75390625,2.48,65.84
266,0.9999996423721313,65105.35546875,2.19,65.57
267,0.9999996423721313,65463.12890625,1.94,65.36999999999999
268,0.9999997019767761,65847.734375,2.26,65.94
269,0.9999997019767761,66214.4453125,1.9800000000000002,65.45
270,0.9999996423721313,66590.1015625,1.96,65.75
271,0.9999997019767761,66970.234375,1.87,65.18
272,0.9999996423721313,67323.53125,2.11,65.32
273,0.9999997019767761,67717.078125,2.29,65.29
274,0.9999996423721313,68164.296875,2.41,65.85
275,0.9999996423721313,68522.0625,2.3800000000000003,65.36
276,0.9999996423721313,68937.9765625,2.25,65.07
277,0.9999996423721313,69300.21875,2.5,65.34
278,0.9999996423721313,69680.3515625,2.42,65.9
279,0.9999996423721313,70087.3125,2.15,65.41
280,0.9999996423721313,70503.21875,2.02,65.64
281,0.9999996423721313,70861.0,1.8900000000000001,65.47
282,0.9999996423721313,71232.1796875,2.0,65.44
283,0.9999996423721313,71616.78125,1.81,65.52
284,0.9999996423721313,72055.0546875,2.06,65.36999999999999
285,0.9999996423721313,72417.296875,2.19,65.62
286,0.9999996423721313,72824.265625,2.1999999999999997,65.57
287,0.9999996423721313,73231.2265625,2.34,65.5
288,0.9999996423721313,73571.109375,2.2399999999999998,65.59
289,0.9999996423721313,73937.8203125,2.3800000000000003,65.35
290,0.9999996423721313,74385.0390625,1.87,65.73
291,0.9999996423721313,74832.25,2.48,65.13
292,0.9999996423721313,75167.65625,1.87,65.62
293,0.9999996423721313,75565.6796875,1.7999999999999998,65.57
294,0.9999996423721313,75995.0078125,1.9900000000000002,65.95
295,0.9999995231628418,76393.0234375,1.79,65.69
296,0.9999996423721313,76791.046875,2.11,65.75999999999999
297,0.9999996423721313,77148.8125,1.9,65.74
298,0.9999996423721313,77515.53125,2.26,65.79
299,0.9999996423721313,77873.3046875,1.78,65.34
