epoch,cosine_similarity,l2_distance,backdoor,main
101,0.9999999403953552,389.0760803222656,99.96000000000001,65.52
102,0.9999997019767761,764.7354125976562,99.94,65.46
103,0.999999463558197,1171.69970703125,99.96000000000001,65.45
104,0.999998927116394,1565.24755859375,99.92,65.8
105,0.9999983310699463,1945.379150390625,99.91,65.24
106,0.9999974966049194,2325.5107421875,99.91,65.86
107,0.9999967813491821,2723.53076171875,99.87,65.86999999999999
108,0.999995768070221,3112.606689453125,99.89,66.07
109,0.9999946355819702,3515.098876953125,99.82,65.71000000000001
110,0.9999932050704956,3926.535400390625,99.8,65.59
111,0.999991774559021,4333.49951171875,99.83,65.64
112,0.9999904036521912,4722.57568359375,99.79,65.63
113,0.9999886751174927,5102.70703125,99.74,65.55
114,0.999987006187439,5487.31103515625,99.69,65.69
115,0.9999851584434509,5876.38671875,99.71,65.72
116,0.9999830722808838,6278.87890625,99.67,65.97
117,0.9999810457229614,6667.95458984375,99.7,65.58
118,0.9999790787696838,7043.6142578125,99.64,65.64
119,0.999976634979248,7450.57861328125,99.57000000000001,65.66
120,0.999974250793457,7853.07080078125,99.56,65.59
121,0.9999717473983765,8251.0908203125,99.53,65.74
122,0.9999690055847168,8666.9990234375,99.57000000000001,65.64999999999999
123,0.9999662041664124,9060.5478515625,99.49,65.79
124,0.9999634027481079,9458.5673828125,99.48,65.62
125,0.9999604225158691,9865.5322265625,99.44,65.86
126,0.999957263469696,10268.0244140625,99.37,65.38000000000001
127,0.9999539256095886,10679.4609375,99.41,65.81
128,0.999950647354126,11095.369140625,99.37,65.93
129,0.9999474287033081,11479.9736328125,99.44,65.78
130,0.9999441504478455,11851.16015625,99.33999999999999,65.66
131,0.9999406933784485,12235.763671875,99.36,66.13
132,0.9999371767044067,12629.3115234375,99.24,65.98
133,0.999933660030365,13004.9716796875,99.21,65.77
134,0.9999298453330994,13411.9365234375,99.11999999999999,66.12
135,0.9999258518218994,13818.900390625,99.11,65.92
136,0.9999219179153442,14207.9765625,99.11,65.84
137,0.9999182224273682,14592.580078125,99.06,65.41
138,0.9999140501022339,14990.599609375,99.08,65.82000000000001
139,0.9999098777770996,15393.0927734375,99.06,65.60000000000001
140,0.9999058246612549,15777.6953125,98.88,65.93
141,0.9999014139175415,16175.7158203125,98.92999999999999,66.11
142,0.9998970031738281,16573.736328125,98.55000000000001,65.82000000000001
143,0.9998925924301147,16958.33984375,98.66,66.09
144,0.999888002872467,17360.83203125,98.8,66.0
145,0.9998834133148193,17763.32421875,98.81,65.82000000000001
146,0.9998787045478821,18152.400390625,98.88,66.13
147,0.9998741149902344,18532.53125,98.58,66.02
148,0.9998694062232971,18926.080078125,98.42,65.94
149,0.9998645186424255,19324.099609375,98.53,65.81
150,0.9998593926429749,19740.0078125,98.7,65.81
151,0.9998542070388794,20142.5,98.64,65.72
152,0.9998492002487183,20536.048828125,98.4,65.98
153,0.9998438954353333,20943.01171875,98.25,65.77
