,main,main_loss,backdoor,backdoor_loss,lr
1,67.04,0.004906613063812256,1.25,0.04028153924942016,0.002
2,67.04,0.005041459393501282,0.89,0.04470501441955566,0.002
3,67.19000000000001,0.00496025024652481,1.01,0.04339675483703613,0.002
4,67.16,0.004951490640640259,0.91,0.04374334840774536,0.002
5,67.34,0.004923894876241684,1.13,0.042480168056488035,0.002
6,67.33,0.004912275594472885,1.0,0.043243281364440916,0.002
7,67.25,0.004982201737165451,0.9299999999999999,0.04484403591156006,0.002
8,67.47999999999999,0.004917851001024246,0.9400000000000001,0.044550014781951905,0.002
9,67.64,0.004902239751815796,0.9400000000000001,0.04437533941268921,0.002
10,67.52,0.004906276822090149,1.17,0.042380162048339845,0.002
11,67.71000000000001,0.004882834535837173,1.08,0.04285712947845459,0.002
12,67.58999999999999,0.004909983092546463,1.08,0.04288189239501953,0.002
13,66.27,0.005075789904594422,4.7,0.02856429672241211,0.002
14,66.97999999999999,0.005014530515670777,3.19,0.03147954845428467,0.002
15,66.91,0.004999729192256928,3.2099999999999995,0.0313281063079834,0.002
16,66.95,0.0049793260335922246,4.87,0.028709106588363648,0.002
17,66.79,0.004956472134590149,4.09,0.029749764823913574,0.002
18,67.08,0.0049839529931545255,5.800000000000001,0.02705586929321289,0.002
19,67.09,0.004973963648080826,6.22,0.027105578470230103,0.002
20,66.78,0.004996697336435318,3.0700000000000003,0.030384171962738037,0.002
21,67.2,0.004966967248916626,4.390000000000001,0.029143632316589355,0.002
22,66.77,0.004990916192531586,2.69,0.031049453496932982,0.002
23,67.24,0.004921985626220703,3.71,0.029811786031723023,0.002
24,67.08,0.004923227518796921,2.7,0.031096716117858886,0.002
25,67.08,0.004945510601997376,2.7199999999999998,0.031554692697525026,0.002
26,67.36999999999999,0.004918469798564911,2.71,0.0315549036026001,0.002
27,67.10000000000001,0.0049229935348033904,2.09,0.032607993030548094,0.002
28,67.32000000000001,0.004900638794898987,2.34,0.032636549282073976,0.002
29,66.94,0.004909706264734268,5.55,0.02793579616546631,0.002
30,67.01,0.004945025569200516,5.72,0.028173900651931764,0.002
31,67.16,0.004931264472007752,4.6,0.029466525316238404,0.002
32,67.36,0.004903280371427536,4.97,0.02900178337097168,0.002
33,67.42,0.004923788487911225,4.15,0.02982580361366272,0.002
34,67.25999999999999,0.004900207716226577,4.99,0.02906341996192932,0.002
35,67.25999999999999,0.00488819682598114,3.18,0.0314014169216156,0.002
36,67.69,0.004900337427854538,3.8899999999999997,0.030772222709655763,0.002
37,66.97999999999999,0.004977458703517914,2.32,0.03412635202407837,0.002
38,67.45,0.0048822917759418485,3.54,0.03170447082519531,0.002
39,67.63,0.004924138671159744,2.79,0.03298678698539734,0.002
40,67.28,0.004899349117279053,5.0,0.02883507285118103,0.002
41,67.45,0.0049069464743137356,7.3999999999999995,0.026665288829803468,0.002
42,67.15,0.0049034705340862276,5.62,0.028105768871307373,0.002
43,66.64,0.004977069509029389,7.12,0.026306155490875244,0.002
44,66.64999999999999,0.004969981670379639,15.629999999999999,0.021309181880950927,0.002
45,67.16,0.004942860728502274,15.120000000000001,0.021876249980926514,0.002
46,67.01,0.004947025680541992,14.099999999999998,0.022552464294433593,0.002
47,66.83,0.004937918084859848,11.86,0.023605838394165038,0.002
48,66.96,0.004905054175853729,10.67,0.023926655435562133,0.002
49,66.99000000000001,0.004929623639583588,8.72,0.025928155851364137,0.002
50,67.13,0.004916784864664078,8.49,0.025900479888916014,0.002
51,67.17,0.004930827260017395,7.8100000000000005,0.026414499950408937,0.002
52,66.94,0.004930792891979218,6.15,0.027718930101394652,0.002
53,67.23,0.004899944406747818,6.67,0.027461292314529418,0.002
54,67.07,0.004918689322471618,4.92,0.02904153389930725,0.002
55,67.25,0.00488925650715828,5.81,0.028281458950042724,0.002
56,67.11,0.0048989367008209226,22.59,0.018288687562942506,0.002
57,66.74,0.004974796342849731,28.139999999999997,0.016203079104423524,0.002
58,67.13,0.004934646189212799,28.73,0.016060274839401246,0.002
59,67.29,0.004953935062885284,24.97,0.01751878981590271,0.002
60,67.28,0.0049074021875858305,24.55,0.0176786563873291,0.002
61,67.24,0.004932025194168091,20.990000000000002,0.019456970405578613,0.002
62,67.05,0.004926813173294067,20.95,0.019020990943908692,0.002
63,67.05,0.004936675524711609,28.610000000000003,0.01635780773162842,0.002
64,67.04,0.004933381819725037,24.89,0.017886853981018067,0.002
65,67.23,0.004915426129102707,22.3,0.018883621406555175,0.002
66,66.99000000000001,0.004917738902568817,22.95,0.018415402126312257,0.002
67,66.59,0.004945616543292999,49.36,0.009898834276199342,0.002
68,66.78,0.004991974323987961,49.33,0.01018473355770111,0.002
69,66.14,0.00500319504737854,59.89,0.007566761577129364,0.002
70,66.16,0.0050159759402275085,64.73,0.006571358644962311,0.002
71,66.43,0.004981351482868194,61.72,0.0072077512383461,0.002
72,66.33,0.0049650081634521484,64.73,0.006429886829853058,0.002
73,66.57,0.004995996356010437,57.42,0.008254352962970734,0.002
74,66.63,0.004978321588039398,56.43,0.008454781699180604,0.002
75,66.9,0.004923336052894592,48.17,0.010385905957221985,0.002
76,66.86999999999999,0.004924609458446503,53.559999999999995,0.008998580265045165,0.002
77,66.53,0.004946403300762177,55.19,0.008787513065338134,0.002
78,66.7,0.004943632745742798,49.830000000000005,0.01017593686580658,0.002
79,66.77,0.004925270044803619,48.27,0.010614093804359436,0.002
80,66.82000000000001,0.0049538332104682925,44.84,0.011521735072135926,0.002
81,66.83,0.005001960337162018,39.4,0.013168463110923767,0.002
82,66.77,0.004928157103061676,39.01,0.013018741536140441,0.002
83,67.0,0.004904585802555084,36.04,0.01364350266456604,0.002
84,67.11,0.004915149909257889,30.959999999999997,0.015567807173728942,0.002
85,66.78,0.004984150695800781,28.99,0.01612957808971405,0.002
86,67.17999999999999,0.004898153728246689,33.92,0.014485887479782104,0.002
87,67.10000000000001,0.004906364798545838,27.36,0.016757622814178467,0.002
88,66.89,0.004918979907035828,25.69,0.017275258088111877,0.002
89,67.22,0.004884942352771759,28.389999999999997,0.016395690989494324,0.002
90,67.0,0.004945817160606384,27.54,0.017094240045547486,0.002
91,66.57,0.004946366155147553,33.97,0.014423418259620667,0.002
92,66.83,0.004905373942852021,50.970000000000006,0.00987593710422516,0.002
93,66.75999999999999,0.004916202056407928,56.11000000000001,0.008637579464912415,0.002
94,66.34,0.004972157514095307,75.76,0.004251387411355972,0.002
95,66.5,0.005009464490413666,69.59,0.005664842331409454,0.002
96,66.67,0.004966665458679199,67.22,0.006114258432388306,0.002
97,66.86999999999999,0.004927537566423416,60.699999999999996,0.007531019842624664,0.002
98,66.9,0.004915698218345642,73.79,0.0046285159528255465,0.002
99,66.66,0.004946073806285858,70.49,0.005408967208862305,0.002
100,66.82000000000001,0.0049485111355781555,71.94,0.005080900591611862,0.002
101,66.97999999999999,0.004930458968877793,69.69999999999999,0.005523199331760407,0.002
102,66.85,0.004935081076622009,69.95,0.005469906079769135,0.002
103,66.89,0.004922496050596237,65.31,0.006364007580280304,0.002
104,66.86,0.004898256474733353,62.73,0.006939883899688721,0.002
105,67.16,0.0048891101598739625,61.17,0.00727809408903122,0.002
106,66.99000000000001,0.004899266648292541,57.42,0.008170828151702881,0.002
107,66.88,0.004904675036668777,56.76,0.008291095292568208,0.002
108,66.97,0.004901692205667496,55.379999999999995,0.008637053513526916,0.002
109,67.15,0.0049006641507148745,54.339999999999996,0.008855729746818542,0.002
110,67.07,0.004889940863847733,51.61,0.009506294870376587,0.002
111,67.22,0.004878286284208297,49.84,0.010035462164878845,0.002
112,67.02,0.004880278182029724,50.33,0.009875646686553954,0.002
113,67.08,0.004879833340644836,50.91,0.00975646185874939,0.002
114,67.10000000000001,0.004875984245538712,48.17,0.010521361231803894,0.002
115,66.82000000000001,0.004894438725709915,46.37,0.011079895901679992,0.002
116,66.94,0.004878507578372955,46.5,0.01090521273612976,0.002
117,67.4,0.00486453143954277,45.25,0.011289209699630737,0.002
118,67.36,0.004870896899700165,45.769999999999996,0.011207922387123108,0.002
119,67.29,0.004860775548219681,42.75,0.01192439513206482,0.002
120,67.44,0.004849595874547958,42.52,0.011960549926757812,0.002
121,67.36,0.004856363034248352,42.85,0.011845986437797546,0.002
122,67.16,0.0048393949091434475,41.23,0.012273901987075805,0.002
123,67.22,0.004850144654512405,40.53,0.012461312222480774,0.002
124,67.13,0.004853271627426148,40.14,0.012559699583053589,0.002
125,67.2,0.004856023591756821,39.17,0.01294809341430664,0.002
126,67.34,0.004874332684278488,36.120000000000005,0.013806247448921203,0.002
127,67.49000000000001,0.004875208246707916,38.6,0.01320272421836853,0.002
128,67.52,0.004862048447132111,36.47,0.01377743308544159,0.002
129,67.65,0.004882995730638504,35.21,0.01413009626865387,0.002
130,67.45,0.004869538778066635,35.6,0.01383671841621399,0.002
131,67.31,0.004863921731710434,35.49,0.013819537806510926,0.002
132,67.36999999999999,0.004868968337774277,31.75,0.01508748688697815,0.002
133,67.12,0.004878690958023071,33.79,0.014291830253601074,0.002
134,67.17,0.00490615496635437,31.96,0.015188513469696045,0.002
135,67.24,0.004889241677522659,31.540000000000003,0.015331304311752319,0.002
136,67.23,0.004892261362075805,31.78,0.01532341616153717,0.002
137,67.47,0.004857803815603256,30.3,0.01558175003528595,0.002
138,67.36,0.004859732604026794,28.16,0.016274822211265565,0.002
139,67.30000000000001,0.004900178265571594,28.95,0.01619339644908905,0.002
140,67.30000000000001,0.004850978201627732,28.07,0.016484515404701233,0.002
141,67.30000000000001,0.004869645309448242,27.05,0.01688545379638672,0.002
142,67.43,0.004853445988893509,28.62,0.01642936863899231,0.002
143,67.28,0.004848310226202011,27.42,0.01663823869228363,0.002
144,67.34,0.004849713557958603,28.03,0.016521848201751708,0.002
