epoch,cosine_similarity,l2_distance,backdoor,main
101,0.9999999403953552,384.6037902832031,90.42999999999999,66.79
102,0.9999999403953552,773.6796264648438,89.59,66.93
103,1.0,1167.2275390625,87.72999999999999,67.09
104,1.0,1538.414794921875,87.39,67.17999999999999
105,0.9999998807907104,1927.4906005859375,86.63,66.86999999999999
106,1.0,2325.5107421875,85.58,66.97999999999999
107,1.0,2710.114501953125,82.41000000000001,66.92
108,0.9999999403953552,3099.190185546875,82.09,66.97
109,0.9999999403953552,3470.37744140625,79.5,67.08
110,0.9999999403953552,3863.925537109375,78.82000000000001,67.02
111,0.9999999403953552,4275.36181640625,77.60000000000001,67.38
112,0.9999998807907104,4668.91015625,77.95,67.31
113,0.9999998807907104,5057.98583984375,76.12,67.09
114,0.9999998807907104,5456.005859375,73.33,67.25999999999999
115,0.9999999403953552,5867.4423828125,74.64,67.08
116,0.9999999403953552,6274.40673828125,71.57,67.07
117,0.9999998807907104,6672.4267578125,69.33,67.52
118,0.9999999403953552,7088.3359375,70.93,67.4
119,0.9999999403953552,7486.35546875,69.73,67.33
120,0.9999998807907104,7862.01513671875,66.95,67.38
121,0.9999998807907104,8246.619140625,66.91,67.60000000000001
122,0.9999998807907104,8644.638671875,65.88000000000001,67.38
123,0.9999999403953552,9038.1865234375,65.71000000000001,67.45
124,0.9999999403953552,9445.1513671875,66.35,67.42
125,0.9999998807907104,9825.2822265625,63.56,67.29
126,0.9999998807907104,10236.71875,63.74999999999999,67.53
127,0.9999998807907104,10643.68359375,62.1,67.54
128,0.9999998807907104,11046.17578125,60.24,67.44
129,0.9999998807907104,11439.7236328125,62.160000000000004,67.47999999999999
130,0.9999998807907104,11851.16015625,60.24,67.58
131,0.9999999403953552,12244.7080078125,60.99,67.57
132,0.9999998807907104,12647.2001953125,58.08,67.09
133,0.9999997615814209,13040.748046875,58.79,67.19000000000001
134,0.9999998807907104,13438.7685546875,57.06,67.5
135,0.9999997615814209,13827.8447265625,57.87,67.32000000000001
136,0.9999999403953552,14234.8095703125,55.15,67.17999999999999
137,0.9999997615814209,14641.7734375,55.059999999999995,67.51
138,1.0,15039.79296875,54.65,67.33
139,0.9999998807907104,15442.28515625,55.230000000000004,67.57
140,0.9999998807907104,15853.72265625,55.879999999999995,67.38
141,0.9999997615814209,16233.8544921875,54.339999999999996,67.14
142,0.9999998807907104,16622.9296875,50.470000000000006,67.43
143,0.9999998807907104,17012.005859375,50.31,67.54
144,0.9999998807907104,17401.08203125,47.3,67.2
145,0.9999999403953552,17794.62890625,50.339999999999996,67.2
146,0.9999998807907104,18183.705078125,48.8,67.28
147,0.9999998807907104,18563.8359375,47.78,67.35
148,0.9999998807907104,18939.49609375,45.71,67.60000000000001
149,0.9999998807907104,19333.04296875,47.78,67.69
150,0.9999998807907104,19753.423828125,45.25,67.31
151,0.9999997615814209,20151.443359375,42.559999999999995,67.25
152,0.9999997615814209,20544.9921875,42.1,67.46
153,0.9999997615814209,20916.177734375,44.68,67.45
154,0.9999997615814209,21309.728515625,42.34,67.41
155,0.9999998807907104,21707.748046875,34.86,67.4
156,0.9999998807907104,22087.87890625,40.69,67.36999999999999
157,0.9999998807907104,22472.482421875,38.32,67.54
158,0.9999997615814209,22866.03125,41.69,67.55
159,0.9999998807907104,23250.634765625,38.43,67.74
160,0.9999998807907104,23626.294921875,36.91,67.51
161,0.9999997615814209,24001.953125,39.050000000000004,67.64
162,0.9999998807907104,24382.0859375,36.66,67.43
163,0.9999998807907104,24748.80078125,38.34,67.60000000000001
164,0.9999998807907104,25128.931640625,37.330000000000005,67.53
165,0.9999998807907104,25522.48046875,38.440000000000005,67.49000000000001
166,0.9999997615814209,25902.611328125,37.75,67.53
167,0.9999998807907104,26300.630859375,34.449999999999996,67.69
168,0.9999997615814209,26685.234375,36.85,67.55
169,0.9999998807907104,27074.310546875,36.46,67.39
170,0.9999997615814209,27441.025390625,35.72,67.65
171,0.9999998807907104,27830.1015625,36.51,67.58999999999999
172,0.9999998807907104,28201.291015625,35.61,67.54
173,0.9999998807907104,28594.837890625,33.5,67.63
174,0.9999998807907104,29001.802734375,34.88,67.36999999999999
175,0.9999997615814209,29381.93359375,31.869999999999997,67.46
176,0.9999999403953552,29762.064453125,31.59,67.54
177,0.9999999403953552,30164.5546875,32.51,67.28
178,0.9999998211860657,30562.578125,29.92,67.57
179,0.9999999403953552,30960.59765625,32.31,67.36999999999999
180,0.9999998211860657,31358.619140625,27.950000000000003,67.57
181,0.9999998807907104,31752.166015625,31.25,67.47999999999999
182,0.9999998211860657,32118.880859375,30.28,67.58
183,0.9999998211860657,32499.01171875,28.46,67.41
184,0.9999997615814209,32879.14453125,28.95,67.72
185,0.9999998211860657,33286.10546875,28.21,67.30000000000001
186,0.9999998211860657,33679.65625,27.82,67.54
187,0.9999998211860657,34041.8984375,29.12,67.78999999999999
188,0.9999998211860657,34417.55859375,27.74,67.94
189,0.9999998211860657,34793.21875,29.099999999999998,68.06
190,0.9999997019767761,35168.87890625,28.77,67.71000000000001
191,0.9999998807907104,35540.0625,27.450000000000003,67.53
192,0.9999998211860657,35915.72265625,26.790000000000003,67.92
193,0.9999997019767761,36313.7421875,26.979999999999997,67.91
194,0.9999998807907104,36693.875,26.86,67.96
195,0.9999999403953552,37082.94921875,25.66,68.05
196,0.9999998807907104,37480.97265625,26.02,67.89
197,0.9999998807907104,37852.16015625,27.29,67.61
198,0.9999997615814209,38245.70703125,25.31,67.86999999999999
199,0.9999998807907104,38648.19921875,27.73,67.42
200,0.9999998807907104,39037.2734375,26.340000000000003,67.60000000000001
201,0.9999998807907104,39430.8203125,22.89,67.69
202,0.9999997615814209,39815.42578125,24.81,67.65
203,0.9999997615814209,40208.97265625,23.26,67.88
204,0.9999998807907104,40606.99609375,24.060000000000002,67.80000000000001
205,0.9999998807907104,40996.0703125,23.62,67.80000000000001
206,0.9999998807907104,41394.08984375,24.32,67.88
207,0.9999998807907104,41783.1640625,24.44,67.64
208,0.9999997615814209,42185.66015625,24.77,67.85
209,0.9999998807907104,42583.67578125,23.7,67.56
210,0.9999997615814209,42990.640625,24.310000000000002,67.62
211,0.9999997615814209,43375.24609375,23.52,67.72
212,0.9999997615814209,43786.68359375,24.87,67.77
213,0.9999997615814209,44198.12109375,23.79,67.7
214,0.9999997615814209,44591.66796875,22.63,67.64
215,0.9999997615814209,44989.6875,23.64,67.77
216,0.9999997615814209,45392.1796875,21.529999999999998,67.45
217,0.9999997615814209,45785.7265625,20.36,67.74
218,0.9999997615814209,46170.33203125,22.6,67.77
219,0.9999997615814209,46563.87890625,21.759999999999998,67.77
220,0.9999997615814209,46952.95703125,23.3,67.56
221,0.9999997615814209,47333.0859375,22.11,67.81
222,0.9999997615814209,47722.1640625,19.86,67.85
223,0.9999996423721313,48129.125,21.22,67.72
224,0.9999997615814209,48509.2578125,22.27,67.73
225,0.9999997615814209,48902.8046875,19.98,67.64
226,0.9999997615814209,49305.296875,18.9,67.52
227,0.9999996423721313,49689.90234375,18.740000000000002,67.73
228,0.9999997615814209,50056.6171875,19.580000000000002,67.60000000000001
229,0.9999997615814209,50427.8046875,18.65,67.7
230,0.9999998807907104,50825.82421875,19.15,67.58999999999999
231,0.9999997615814209,51214.90234375,18.709999999999997,67.58999999999999
232,0.9999998807907104,51612.921875,17.330000000000002,67.67
233,0.9999997615814209,51997.52734375,19.009999999999998,67.99
234,0.9999996423721313,52382.12890625,19.07,67.83
235,0.9999997615814209,52780.1484375,18.17,67.72
236,0.9999997615814209,53160.27734375,17.89,67.85
237,0.9999997615814209,53531.46484375,18.029999999999998,67.80000000000001
238,0.9999997615814209,53925.015625,16.68,67.80000000000001
239,0.9999997615814209,54314.09375,19.470000000000002,67.58999999999999
240,0.9999997615814209,54712.109375,17.86,67.65
241,0.9999997615814209,55101.1875,17.61,67.71000000000001
242,0.9999997615814209,55490.265625,16.49,67.27
243,0.9999997615814209,55874.86328125,17.49,67.42
244,0.9999997615814209,56272.88671875,17.31,67.56
245,0.9999997615814209,56657.4921875,17.19,67.55
246,0.9999997615814209,57042.09375,16.669999999999998,67.27
247,0.9999997615814209,57435.64453125,17.51,67.64
248,0.9999997615814209,57833.6640625,16.56,67.7
249,0.9999997615814209,58222.73828125,16.82,67.71000000000001
250,0.9999997615814209,58602.87109375,16.18,67.74
251,0.9999997615814209,59005.359375,15.86,67.80000000000001
252,0.9999997615814209,59385.49609375,15.959999999999999,67.84
253,0.9999997615814209,59752.20703125,14.16,67.55
254,0.9999997615814209,60141.28515625,15.790000000000001,67.42
255,0.9999997615814209,60557.1953125,16.98,67.67999999999999
256,0.9999997615814209,60959.68359375,16.45,67.75999999999999
257,0.9999997019767761,61326.3984375,15.040000000000001,67.61
258,0.9999997615814209,61737.83984375,14.66,67.57
259,0.9999997615814209,62117.96875,14.499999999999998,67.49000000000001
260,0.9999997615814209,62507.04296875,13.780000000000001,67.56
261,0.9999997615814209,62896.12109375,15.86,67.81
262,0.9999997019767761,63294.140625,15.03,67.58
263,0.9999997615814209,63696.6328125,16.150000000000002,67.71000000000001
264,0.9999997615814209,64085.70703125,15.440000000000001,67.73
265,0.9999997615814209,64470.3125,14.02,67.95
266,0.9999997615814209,64863.86328125,12.82,67.81
