epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,572.4346313476562,97.46000000000001,65.46
102,1.0,706.5977172851562,97.58,64.59
103,1.0000001192092896,1220.8934326171875,96.85000000000001,65.51
104,0.9999999403953552,1569.7198486328125,96.22,65.35
105,0.9999999403953552,2052.710693359375,96.57,65.49000000000001
106,1.0,2303.150146484375,94.96,65.13
107,1.0000001192092896,2759.307861328125,94.36,65.57
108,0.9999999403953552,3300.4365234375,95.38,65.79
109,0.9999999403953552,3613.486083984375,94.17999999999999,65.53999999999999
110,1.0000001192092896,4029.39453125,94.36,64.89
111,1.0000001192092896,4320.08349609375,93.30000000000001,65.38000000000001
112,1.0,4744.93603515625,92.47999999999999,65.53
113,1.0,5120.595703125,93.45,65.71000000000001
114,1.0,5576.75341796875,92.25,65.97
115,1.0,5867.4423828125,90.81,65.42
116,1.0,6301.23974609375,91.71000000000001,65.63
117,1.0,6681.37109375,90.18,65.79
118,1.0000001192092896,7164.36181640625,88.92,65.91
119,1.0,7423.74560546875,89.92999999999999,65.03999999999999
120,1.0,8067.7333984375,88.97,66.53999999999999
121,1.0,8192.953125,87.3,65.45
122,1.0,8711.720703125,88.26,66.34
123,1.0,9208.1279296875,86.87,66.10000000000001
124,1.0,9422.7900390625,89.96,65.10000000000001
125,0.9999999403953552,9901.30859375,84.68,66.60000000000001
126,1.0,10276.96875,87.01,65.82000000000001
127,1.0,10697.349609375,85.61999999999999,65.8
128,1.0,11301.087890625,84.27,66.32000000000001
129,1.0,11417.36328125,85.36,65.36
130,1.0,11895.8818359375,84.26,66.09
131,1.0,12235.763671875,84.77,66.03
132,0.9999999403953552,12651.6728515625,81.03,66.31
133,0.9999999403953552,13161.49609375,82.08,66.42
134,0.9999999403953552,13411.9365234375,79.75999999999999,66.03
135,0.9999999403953552,13850.205078125,81.28,65.79
136,0.9999999403953552,14319.7802734375,83.36,66.11
137,0.9999999403953552,14565.7470703125,80.11,65.49000000000001
138,0.9999999403953552,15026.376953125,81.26,66.14
139,0.9999999403953552,15571.9775390625,78.3,66.01
140,0.9999998807907104,15849.25,80.24,66.29
141,0.9999999403953552,16166.771484375,79.12,66.11
142,1.0,16605.041015625,74.68,66.03999999999999
143,0.9999999403953552,16962.8125,78.55,65.72
144,0.9999999403953552,17383.193359375,76.82,65.98
145,0.9999999403953552,17781.212890625,77.12,66.18
146,0.9999998807907104,18161.34375,78.14,66.36
147,0.9999998807907104,18671.16796875,75.3,66.72
148,1.0,18894.7734375,72.91,65.95
149,1.0,19359.876953125,76.49000000000001,66.43
150,0.9999998807907104,19748.953125,76.1,65.44
151,1.0,20164.861328125,74.47,66.29
152,0.9999998807907104,20549.46484375,74.42,66.43
153,0.9999998807907104,20960.900390625,72.67,66.14999999999999
154,0.9999998807907104,21363.392578125,74.02,66.11
155,0.9999998807907104,21739.052734375,71.23,66.4
156,0.9999998807907104,22119.185546875,68.46,66.09
157,1.0,22490.37109375,71.03,66.14
158,0.9999998807907104,22888.392578125,67.17,66.35
159,0.9999998807907104,23384.798828125,68.95,66.57
160,1.0,23657.599609375,68.60000000000001,66.0
161,0.9999998807907104,24069.03515625,70.47,66.03999999999999
162,0.9999998807907104,24467.0546875,63.41,66.08000000000001
